Day,Exercise,Sets,Reps,Weight,Rest
Push Day,Bench Press,4,8-10,185 lbs,2-3 min
Push Day,Overhead Press,3,8-10,135 lbs,2-3 min
Push Day,Incline Dumbbell Press,3,10-12,70 lbs,90 sec
Push Day,Dips,3,12-15,Bodyweight,90 sec
Push Day,Lateral Raises,3,12-15,25 lbs,60 sec
Push Day,Tricep Pushdowns,3,12-15,80 lbs,60 sec
Pull Day,Pull-ups,4,8-10,Bodyweight,2-3 min
Pull Day,Barbell Rows,4,8-10,155 lbs,2-3 min
Pull Day,Lat Pulldowns,3,10-12,140 lbs,90 sec
Pull Day,Face Pulls,3,12-15,50 lbs,60 sec
Pull Day,Barbell Curls,3,10-12,80 lbs,90 sec
Pull Day,Hammer Curls,3,12-15,35 lbs,60 sec
Legs,Squats,4,8-10,225 lbs,3 min
Legs,Romanian Deadlifts,3,10-12,185 lbs,2-3 min
Legs,Bulgarian Split Squats,3,12-15,50 lbs,90 sec
Legs,Leg Press,3,15-20,300 lbs,90 sec
Legs,Calf Raises,4,15-20,180 lbs,60 sec
Legs,Walking Lunges,3,20 steps,40 lbs,90 sec